channel,userid,name,category1,country,category2,followers,views,likes,comments,shares
youtube,Frost Diamond,Frost Diamond,Music & Dance,Indonesia,Video games,23000000,396900,22100,837,100
youtube,MrBeast en Español,MrBeast en Español,,Mexico,,23000000,7200000,294100,9100,100
youtube,D Billions,D Billions,,,,22900000,1300000,987,0,100
youtube,onemeeeliondollars,Mark Rober,Science & Technology,United States,,22900000,5400000,408800,27600,100
youtube,VenusMovies,Venus Movies,,India,,22800000,58800,631,10,100
youtube,Miss Katy,Miss Katy,Video games,Russia,,22700000,674800,14500,736,100
youtube,DrossRotzank,DrossRotzank,,Mexico,,22700000,1800000,146700,5900,100
youtube,AmericasGotTalent,America's Got Talent,Music & Dance,United States,Movies,22700000,243000,4800,126,100
youtube,Technical Guruji,Technical Guruji,,India,,22700000,491100,30200,1800,100
youtube,Diana and Roma ARA,Diana and Roma ARA,,,,22500000,612400,3200,0,100
youtube,gmmgrammyofficial,GMM GRAMMY OFFICIAL,Music & Dance,Thailand,,22500000,4800,169,3,100
youtube,Smile Family,Smile Family,Movies,,Toys,22300000,55000,285,0,100
youtube,goldmineshindi,Goldmines Movies,,India,,22300000,8500,96,7,100
youtube,TED,TED,,United States,,22300000,20500,417,66,100
youtube,PeppaLatinoAmericano,Peppa Pig Español Latino - Canal Oficial,Toys,,,22300000,285200,1700,0,100
youtube,mmoshaya,mmoshaya,,Saudi Arabia,,22300000,1700000,17600,775,100
youtube,WHBBP,White Hill Music,Music & Dance,India,,22200000,16000,829,41,100
youtube,WaveMusicBhojpuri,Wave Music Bhojpuri,Music & Dance,India,,22200000,7700,91,7,100
youtube,sia,Sia,Music & Dance,United States,,22200000,0,0,0,100
youtube,PenIndiaPvtLimited,Pen Movies,Movies,India,Animation,22100000,173500,5500,184,100
youtube,Brent Rivera,Brent Rivera,Video games,United States,Humor,22100000,3200000,194500,7300,100
youtube,oRugrat,FaZe Rug,Video games,United States,Humor,22100000,2600000,99400,7600,100
youtube,Paulo Londra,Paulo Londra,Music & Dance,Argentina,,22100000,1300000,82800,2300,100
youtube,starplus,StarPlus,,India,,21900000,26100,437,10,100
youtube,PrestonPlayz,Preston,Animation,United States,Video games,21900000,1000000,28400,1100,100
youtube,BabyBus - Canciones Infantiles & Videos para Niños,BabyBus - Canciones Infantiles & Videos para Niños,Movies,,Animation,21800000,112700,458,0,100
youtube,Juan De Dios Pantoja,Juan De Dios Pantoja,Daily vlogs,Mexico,,21700000,6200000,355700,5300,100
youtube,shfa show India,shfa show India,Daily vlogs,,,21600000,1100000,7400,0,100
youtube,Like Nastya PRT,Like Nastya PRT,,,,21600000,413000,1900,0,100
youtube,CharliesVlogs,Charlie Puth,Music & Dance,United States,,21600000,99500,8600,528,100
youtube,SSundee,SSundee,Video games,United States,,21500000,1300000,68500,3600,100
youtube,★ Kids Roma Show,★ Kids Roma Show,Animation,,Toys,21400000,986000,3600,0,100
youtube,Goldmines Cineplex,Goldmines Cineplex,,India,,21400000,6900,58,3,100
youtube,LankyBox,LankyBox,Video games,United States,,21300000,262300,4100,181,100
youtube,FGTeeV,FGTeeV,Animation,United States,Video games,21300000,608400,8300,1100,100
youtube,Tasty,Tasty,Food & Drinks,United States,,21100000,60000,3400,33,100
youtube,UltraMovieParlour,Ultra Movie Parlour,,India,,20900000,34600,358,11,100
youtube,NationalGeographic,National Geographic,,United States,,20900000,30700,723,25,100
youtube,5-Minute Crafts DIY,5-Minute Crafts DIY,Music & Dance,India,Humor,20900000,11100,240,7,100
youtube,Baim Paula,Baim Paula,Music & Dance,Indonesia,Movies,20900000,862500,50700,11500,100
youtube,Kids TV - Nursery Rhymes And Baby Songs,Kids TV - Nursery Rhymes And Baby Songs,Toys,,,20900000,23200,64,0,100
youtube,CanalCanalha,Canal Canalha,Sports,Brazil,,20700000,1400000,160300,3900,100
youtube,DisneyChannelLA,Disney Latinoamérica,,,,20700000,19300,207,0,100
youtube,BeastReacts,Beast Reacts,,United States,,20600000,8200000,228400,3900,100
youtube,Brave Wilderness,Brave Wilderness,,United States,,20600000,287600,9100,1000,100
youtube,RotanaAudio,Rotana,Music & Dance,Saudi Arabia,,20500000,16800,390,25,100
youtube,Vlad and Niki Arabic,Vlad and Niki Arabic,,,,20500000,443000,1900,0,100
youtube,Zhong,Zhong,,United States,,20500000,1400000,76800,3600,100
youtube,Alan Becker,Alan Becker,Animation,United States,Video games,20500000,808500,80800,2800,100
youtube,JakePaulProductions,Jake Paul,Fitness,United States,,20400000,1300000,50700,1900,100
youtube,TheElenaYa,Diana and Roma EN,Animation,,Toys,20400000,2200000,5300,0,100
youtube,toyorbabytv,toyorbabytv,Music & Dance,,,20300000,125200,0,0,100
youtube,BuzzFeedVideo,BuzzFeedVideo,Food & Drinks,United States,,20300000,26900,537,23,100
youtube,TelenovelaTelevisa,Tlnovelas,,Mexico,,20300000,12100,241,11,100
youtube,LazarBeam,LazarBeam,Animation,United States,Video games,20300000,1600000,98200,6900,100
youtube,gmapublicaffairs,GMA Public Affairs,News & Politics,Philippines,,20200000,3700,39,4,100
youtube,MrVivekBindra,Dr. Vivek Bindra: Motivational Speaker,Education,India,,20200000,320800,20100,836,100
youtube,Kinder Spielzeug Kanal,Kinder Spielzeug Kanal,Animation,,Toys,20200000,67000,164,0,100
youtube,NetflixIndiaOfficial,Netflix India,,India,,20200000,57300,1400,89,100
youtube,AuthenticGames,AuthenticGames,Movies,Brazil,Video games,20200000,16700,1500,176,100
youtube,SlivkiChanel,SlivkiShow,Video games,Russia,,20100000,2100000,121500,3500,100
youtube,Totoy kids - Português,Totoy kids - Português,Animation,,,20100000,69400,872,0,100
youtube,5-Minute Crafts PLAY,5-Minute Crafts PLAY,,India,,20100000,29900,216,12,100
youtube,TheFineBros,REACT,Humor,United States,,20100000,94100,4000,227,100
youtube,VEVO,Vevo,Music & Dance,United States,,20100000,51900,552,19,100
youtube,HaerteTest,HaerteTest,,India,,20000000,24600,122,14,100
youtube,pencilmation,Pencilmation,Animation,United States,Humor,20000000,101600,1200,47,100
youtube,romeo,Romeo Santos,Music & Dance,United States,,19900000,69400,6500,325,100
youtube,Mnet,Mnet K-POP,Music & Dance,United States,Animation,19900000,45500,2800,177,100
youtube,PTXofficial,Pentatonix,Music & Dance,United States,,19900000,350500,18900,959,100
youtube,Sun TV,Sun TV,,India,,19900000,62500,1400,12,100
youtube,MARVEL,Marvel Entertainment,Movies,United States,Animation,19900000,142100,8200,367,100
youtube,Eva Bravo Play,Eva Bravo Play,,,,19800000,399800,2300,0,100
youtube,fatosdesconhecidos,Fatos Desconhecidos,Science & Technology,Brazil,,19800000,108700,12300,528,100
youtube,corbuzier,Deddy Corbuzier,,Indonesia,,19700000,1400000,30600,3400,100
youtube,Noor Stars,Noor Stars,Movies,Iraq,Humor,19700000,1000000,90900,5000,100
youtube,gottalentglobal,Got Talent Global,,United States,,19700000,43100,778,28,100
youtube,Infinite,Infinite,Video games,United States,Humor,19700000,630700,15400,695,100
youtube,Kurzgesagt,Kurzgesagt – In a Nutshell,Education,United States,,19700000,4400000,211800,6300,100
youtube,Dushyant kukreja,Dushyant kukreja,,India,,19600000,2100000,139700,353,100
youtube,invictorgs3,invictor,Animation,Mexico,Video games,19600000,523700,35900,794,100
youtube,gordonramsay,Gordon Ramsay,Food & Drinks,United States,Health & Self Help,19500000,96000,3100,273,100
youtube,Gusttavo Lima Oficial,Gusttavo Lima Oficial,Music & Dance,Brazil,,19500000,6500000,49300,1400,100
youtube,Vania Mania Kids,Vania Mania Kids,Animation,,Toys,19500000,787100,2700,0,100
youtube,RobinHoodGamer1,Robin Hood Gamer,Animation,Brazil,Video games,19500000,739900,51300,748,100
youtube,NBA,NBA,Sports,United States,,19500000,39800,1500,59,100
youtube,TroomTroom_Es,Troom Troom Es,,Mexico,,19400000,67000,1000,56,100
youtube,AlejoIgoa,Alejo Igoa,DIY & Life Hacks,Argentina,,19300000,7600000,131100,17900,100
youtube,OfficialClashOfClans,Clash of Clans,Movies,United States,Animation,19300000,354600,29700,767,100
youtube,The Royalty Family,The Royalty Family,Humor,United States,,19200000,3700000,95100,0,100
youtube,Kids Channel India - Hindi Rhymes and Baby Songs,Kids Channel India - Hindi Rhymes and Baby Songs,Education,,,19200000,45500,301,0,100
youtube,DLSNews,DLS News,News & Politics,India,,19200000,64100,1800,155,100
youtube,BabyBus - Cerita & Lagu Anak-anak,BabyBus - Cerita & Lagu Anak-anak,Movies,,Humor,19100000,262400,816,0,100
youtube,AS Gaming,AS Gaming,,India,,19100000,454700,38300,904,100
youtube,Crafty Panda,Crafty Panda,Music & Dance,India,,19100000,50700,278,8,100
youtube,greengoldtv,Green Gold TV - Official Channel,,,,19100000,234300,1900,0,100
youtube,Maya and Mary,Maya and Mary,Toys,,Education,19100000,10500,0,0,100
youtube,BritainsGotTalent09,Britain's Got Talent,Music & Dance,United Kingdom,Movies,19000000,185000,633,34,100
youtube,TRT Originals Urdu,TRT Originals Urdu,,Pakistan,,19000000,220300,9200,196,100
youtube,YOLO AVENTURAS,YOLO AVENTURAS,,Mexico,,19000000,812500,73000,325,100
youtube,JimmyKimmelLive,Jimmy Kimmel Live,Movies,United States,,18900000,207200,3300,300,100
